"kommunenummer","kommunenavn","fylkesnummer","fylkesnavn","nordnorge","tilfeller","tilfeller1000","over1","dode","karantene","areal","folketall","over69","andelover69","sentralitetsindeks","ledighet","innvandrere","skatteinntekter","STN","senterpartiet","passasjererutland"
"5046","Høylandet","50","Trøndelag – Trööndelage",0,1,0.812347684809098,0,0,0,754.68,1231,253,0.205523964256702,513,1.1,5.44,50.8,0,61.68091,0
"5047","Overhalla","50","Trøndelag – Trööndelage",0,4,1.02986611740474,1,0,0,729.79,3884,543,0.139804325437693,614,1.95,9.65,261.3,0,59.57884,0
"5049","Flatanger","50","Trøndelag – Trööndelage",0,0,0,0,0,0,458.71,1103,207,0.187669990933817,464,2.2,12.96,76.1,0,34.97024,0
"5052","Leka","50","Trøndelag – Trööndelage",0,0,0,0,0,0,110.13,557,134,0.240574506283662,392,NA,10.23,24.4,0,43.37662,0
"5053","Inderøy","50","Trøndelag – Trööndelage",0,8,1.17370892018779,1,0,0,365.67,6816,1119,0.164172535211268,678,1.75,6.46,322.1,0,44.25703,0
"5054","Indre Fosen","50","Trøndelag – Trööndelage",0,2,0.198333994446648,0,0,0,1095.98,10084,1789,0.177409758032527,615,1.9,8.88,472.4,0,26.15819,0
"5055","Heim","50","Trøndelag – Trööndelage",0,2,0.335401643468053,0,0,1,1024.58,5963,1127,0.188998826094248,596,1.9,7.58,295.2,0,33.09465,0
"5056","Hitra","50","Trøndelag – Trööndelage",0,2,0.396039603960396,0,0,1,755.89,5050,840,0.166336633663366,535,2.4,20.55,268.3,0,11.8659,0
"5057","Ørland","50","Trøndelag – Trööndelage",0,12,1.162452775356,1,0,1,457.07,10323,1662,0.160999709386806,604,2.15,7.81,505.3,0,33.17937,0
"5058","Åfjord","50","Trøndelag – Trööndelage",0,1,0.233208955223881,0,0,0,1329.42,4288,826,0.192630597014925,502,1.7,8.16,207.5,0,31.08852,0
"5059","Orkland","50","Trøndelag – Trööndelage",0,16,0.878300488554647,0,0,1,1906.26,18217,2973,0.16319920952956,722,1.65,9.75,911.6,0,31.29652,0
"5060","Nærøysund","50","Trøndelag – Trööndelage",0,0,0,0,0,0,1346.16,9623,1429,0.148498389275694,563,1.9,11.09,596.3,0,23.28132,0
"5061","Rindal","50","Trøndelag – Trööndelage",0,0,0,0,0,1,631.95,2003,394,0.196704942586121,592,1.25,3,88.8,0,42.5492,0
"5401","Tromsø","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,170,2.2085379478785,1,2,1,2521.27,76974,7882,0.102398212383402,804,1.55,15.11,5216.6,1,10.95115,233103
"5402","Harstad - Hárstták","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,0,0,0,0,1,445.21,24703,3824,0.154799012265717,737,1.95,10.52,1201.4,0,17.80787,22226
"5403","Alta","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,6,0.288614170955794,0,0,1,3849.6,20789,2229,0.107220164510077,709,1.95,10.34,910.8,1,14.38682,2601
"5404","Vardø","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,1,0.492853622474125,0,0,1,600.61,2029,362,0.178413011335633,509,4.15,18.38,67.5,0,20.62147,0
"5405","Vadsø","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,3,0.518313752591569,0,0,1,1257.85,5788,887,0.15324809951624,632,2.4,15.6,242.6,0,19.44917,0
"5406","Hammerfest","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,15,1.31027253668763,1,0,1,2692.57,11448,1501,0.131114605171209,676,2.4,18.86,538.9,1,9.82022,0
"5411","Kvæfjord","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,1,0.352236703064459,0,0,1,512.61,2839,508,0.178936245156745,586,1.8,9.93,114.5,0,28.61054,0
"5412","Tjeldsund","54","Troms og Finnmark – Romsa ja Finnmárku – Tromssa ja Finmarkku",1,1,0.23719165085389,0,0,1,814.33,4216,889,0.210863377609108,538,2,8.56,189,1,12.85195,0
